num_ants,num_iterations,pheromone_decay,alpha,beta,avg_fitness,avg_max_fitness,avg_min_fitness,avg_fitness_percentage,avg_unscheduled_surgeries,avg_remaining_room_time,avg_remaining_surgeon_time
10,30,0.1,3,6,187.2,192.0,183.0,91.76470588235294,2.6,906.2,3306.2
10,30,0.1,5,2,187.2,195.0,183.0,91.76470588235296,2.2,956.2,3356.2
10,30,0.1,5,4,184.8,192.0,180.0,90.58823529411765,2.2,954.4,3354.4
10,30,0.1,5,6,184.4,192.0,180.0,92.23165554881747,1.8,958.6,3358.6
10,30,0.3,1,2,187.2,192.0,182.0,94.58459672528805,1.2,870.2,3270.2
10,30,0.3,1,4,187.2,192.0,186.0,91.76470588235294,2.2,961.6,3361.6
10,30,0.3,1,6,187.4,192.0,182.0,93.71740448756823,2.0,929.2,3329.2
10,30,0.3,3,2,186.6,198.0,180.0,91.47058823529412,2.4,926.2,3326.2
10,30,0.3,3,4,191.4,198.0,186.0,93.82352941176471,1.8,908.8,3308.8
10,30,0.3,3,6,185.8,186.0,185.0,92.01334141904185,2.2,950.2,3350.2
10,30,0.3,5,2,189.4,194.0,186.0,93.82352941176471,1.6,915.2,3315.2
10,30,0.3,5,4,185.0,186.0,182.0,92.54093389933294,2.2,900.0,3300.0
10,30,0.3,5,6,189.2,198.0,183.0,94.66040024257126,1.6,896.0,3296.0
10,30,0.5,1,2,188.4,192.0,186.0,92.3529411764706,2.0,935.4,3335.4
10,30,0.5,1,4,185.2,189.0,177.0,91.71922377198302,2.2,958.6,3358.6
10,30,0.5,1,6,183.8,189.0,180.0,91.95269860521529,2.4,939.8,3339.8
10,30,0.5,3,2,189.0,198.0,186.0,92.64705882352942,2.0,911.6,3311.6
10,30,0.5,3,4,188.4,192.0,183.0,92.35294117647058,1.8,923.0,3323.0
10,30,0.5,3,6,188.4,194.0,182.0,95.20315342631898,1.2,883.6,3283.6
10,30,0.5,5,2,187.6,192.0,182.0,92.88053365676168,2.0,911.8,3311.8
10,30,0.5,5,4,186.4,192.0,180.0,92.30745906610068,1.8,925.4,3325.4
10,30,0.5,5,6,183.0,195.0,180.0,89.70588235294117,2.4,981.4,3381.4
20,10,0.1,1,2,185.8,192.0,180.0,92.02850212249848,2.4,962.0,3362.0
20,10,0.1,1,4,186.0,189.0,183.0,91.17647058823529,2.2,960.8,3360.8
20,10,0.1,1,6,187.2,192.0,186.0,91.76470588235294,1.8,937.0,3337.0
20,10,0.1,3,2,187.0,198.0,180.0,92.6015767131595,2.0,898.4,3298.4
20,10,0.1,3,4,185.6,189.0,180.0,92.86537295330504,2.0,867.4,3267.4
20,10,0.1,3,6,182.0,186.0,176.0,91.0248635536689,1.8,907.4,3307.4
20,10,0.1,5,2,185.6,195.0,179.0,92.80473013947847,2.4,936.4,3336.4
20,10,0.1,5,4,187.2,192.0,180.0,94.61491813220132,1.4,869.4,3269.4
20,10,0.1,5,6,186.6,192.0,177.0,91.47058823529412,2.4,983.6,3383.6
20,10,0.3,1,2,185.4,192.0,180.0,90.88235294117646,2.2,930.0,3330.0
20,10,0.3,1,4,183.4,186.0,180.0,90.82171012734992,2.6,966.8,3366.8
20,10,0.3,1,6,188.4,192.0,183.0,92.3529411764706,2.2,945.4,3345.4
20,10,0.3,3,2,188.8,194.0,183.0,93.52941176470588,2.0,886.8,3286.8
20,10,0.3,3,4,187.2,198.0,180.0,91.76470588235294,2.2,956.4,3356.4
20,10,0.3,3,6,184.2,189.0,180.0,90.29411764705881,3.0,1034.2,3434.2
20,10,0.3,5,2,184.0,189.0,180.0,91.11582777440873,2.2,928.4,3328.4
20,10,0.3,5,4,187.8,192.0,183.0,92.05882352941177,1.8,955.2,3355.2
20,10,0.3,5,6,181.2,189.0,174.0,88.82352941176471,3.0,1059.4,3459.4
20,10,0.5,1,2,186.6,189.0,186.0,91.47058823529412,2.4,1008.0,3408.0
